comment_text,sentiment
ธีาะภา❤😂🎉❤❤🎉❤ีัด้่ภด้❤,positive
สุขสันต์วันรายอครับ อาแบร์ เก่ากลับ,neutral
"บ้านเธออยู่บ้านเก่ากับอยู่ไหนหรอาะีา😊❤❤🎉🎉🎉🎉😮😮 1:16 1:17 1:18 1:18 ,*4฿_&__&&&",positive
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤😂,positive
❤❤❤❤❤❤,positive
เเบเกากับFC นะคะฟังทุกเพลงเลยค่ะร้องทุกวันเลยหนูเคยเจอพี่บ่อยเลยนะพี่เรียนโรงเรียนเดียวกับพี่หนูโรงเรียนธรรมวิทยามูลนิธิโรงเรียนที่หนูที่หนูชื่อฮาฟิตสิเดะค่ะเเบเกากับหนูชื่อนาดา❤😊🎉,positive
❤❤,positive
❤❤❤,positive
❤❤❤❤❤ด.ช.อาลีฟ     อาแด2/2      5-ปี,positive
❤❤❤❤❤❤❤❤,positive
2:37,neutral
❤❤❤❤,positive
บอะบอะบอะ,neutral
❤❤❤❤❤❤❤🎉🎉🎉🎉🎉🎉🎉🎉🎉😊😊😊😊😊😊😊😊นูรอัยรีน,positive
Sumpah sedap sangat lagu ni aku rate inviniti 😊😊,positive
Best lagu dato siti ❤,positive
SEHLAMAT RAYA EE AIDIL ADHA..🎉😂❤,positive
"Siti Nurhaliza is the best, cantik dan semua lagunya sangat enak didengar.",positive
Halo maaf telat,neutral
"Beratus Kali aku ulng tak bosan"" musik dia meyntuh kalbu😢",negative
Salam 25 Syawal 1446,neutral
2025 hadir,neutral
Hahaha,positive
❤,positive
♥️💛💚💙💜🤎🖤🤍💘💝💖💗💓💞💕💌💟♥️❣️❤️‍🩹,positive
❤🎉😢,positive
Raya 17syawal 2025 dengar2 lagi kite geng ❤,positive
Datok siti nurhaliza best... salam dari Indonesia,positive
"Tanpa kita sedar org yg dalam video itu seperti pelakon2 dah tua semua , 😊😅",positive
Lagu raya lalar segar,neutral
"Salam 13 syawal 2025 from indon 
Lagu raya datok sangat memukau",neutral
Lagu raya sentiasa evergreen. Tahun ni sedih beraya tanpa ibu. Al Fatihah buat arwah ibu salina bt ismail,neutral
"dah nak masuk 3 series, lagu nie tetap jadi pilihan hati tiap kali syawal. 🤍",neutral
Lirik lagu menceritakan suasana di hari raya yg indah dan terdapat nasihat untuk kita semua amalkan..al-fatihah untuk orng tuaku.semoga hari raya akan datang juga indah,neutral
Sangat sukeeeee lagu ini ❤❤,positive
IBNU ARASY DZIKRULLAH ALLAHU AKBAR AL-DOA EXIST BEFORE END DAY OR DOOMSDAY AMIN YA RABBAL ALAMIN INSYA-ALLAH ALLAHU AKBAR,negative
"Syoklah yang masih punyai ibu bapa,👈😟😟😟",negative
"Tengoklah tu anak anak yatim piatu, 👈😟😟",negative
Saya!!!,neutral
"Pelakon HangTuah di Film Putri Gunung Ledang....sehat2 selalu Datuk Muhammad Nasir..Baarakallahufik
7 Juni 2025❤",positive
2025 ❤❤,positive
Siapa mendengar lagu ni 1/6/2025,neutral
"mkhluk no ,only God",negative
yg membuka pintu kebahagiaan ialah Allah,neutral
suara pujian pada yg Esa,neutral
ahlan wa sahlan ya Ramadan 1447 H / 2026 M,neutral
2025😢❤,positive
bang coba bikin mobil Van 🇮🇩 vs NIKE ZEBUA 🇺🇿,neutral
tiap kali buka lagu air mata laju keluar mana tak sedih arwah mak pergi bulan satu tahun ini tiap kali raya rumah saudara saudara hidang nasi dangang mesti teringat kat arwah mak dia teringin rasa makan yang kakak aku buat tak kesampain🥲,neutral
Tiap2 tahun nk kena komen siapa dgar tahun ni ka? Mesti la dengar. Lagu raya lama ni best selamanya. Semak betul mcm tak ada komen lain.,positive
Setiap tahun mesti cari lagu ni hinggalah sekarang 2025,neutral
SITI walau pun i tk berjoh dengan u i DOA kan Dari hati i u😢 dapat hidup bahagiya Dan jaga IBU u dan kirim Salam dengan Anja 😢❤,negative
Selamat Hari Raya,neutral
Terbaik,neutral
"Like comment share & subscribe anda sangat membantu kami untuk hasilkan video yang lebih baik akan datang ! Thank you semua 🙏🏻

Korang nak Medley apa pulak lepas ni? 🤔 
COMMENT CEPAT !!!",positive
br tahun nki tahu akan medley ni....rupanya da 3 tahun video ni,neutral
"dlm byk² medley raya , ni yg paling sedap . susunan lagu terbaik , suara sedap , irama layan lentok . kalau boleh buat lagi medley mcmni yg panjang sikit , setengah jam pun ok dah . hahahaha",positive
masih setia mendengar 13/04/2025,neutral
Medley yg sedap didengar 🎉🎉🎉🎉🎉,positive
Masih suka lagu melayu kalo lebaran. Walo darah mix minang jawa,neutral
Best improvisation for raya song ever 4:58  and 5:09,positive
Mantap... Suka,neutral
Balek Kampong idul Fitri 1446🎉,positive
Malam mantai 2025.. huhu..,neutral
"Saya orang indonesia, tapi tersentuh hati mendengar lagu ini. Selamat hari Raya",neutral
Suaranya bagus❤,positive
Terbaiklah 🎉,positive
Hadir 2025.. Lagi berapa hari nk raya.. Medley yg terbaik dari masa awal2 terbit video ni smpai sekarang.. Suka suka suka 👍👍👍👍,neutral
"Hadir 2025 , sumpah vibe medley korang dendangkan best sngat . Lagi2 semua lagu lama . Lurve ❤❤❤❤❤ selalu dengar dlm kereta",positive
"Hadir 2025 ❤️ , mantappp semua power2 suara nyanyi",neutral
hadir 2025,neutral
"24 Mac 2025 repeat dengar.

2021 mula dengar.",neutral
Best...muzik tak bising sgt..sedap dgr❤,positive
"24hb/3/2025.. Ramadan, Sabah hadir❤🎉",positive
❤Fire❤,positive
❤❤🎉🎉😊,positive
2025 hadir🥹,neutral
"Salam Aidilfitri, Selamat Hari Raya 2025🎉🎉🎉🎉",positive
Lagu raya yg simple tp best!! 🫰🏻,positive
rindu najwa latiff,neutral
Ada ketenangan bila dgr lagu ni...dah 2025..sapa setuju???,neutral
2:10,neutral
Selamat hari raya Aidilfitri maaf zahir dan batin 2025,neutral
The best modern raya song,positive
Happy hari raya,positive
selamat Hari raya jat ❤,positive
Raya tahun ni terasa sekejap je 😢😢,negative
Heo mho🎂🎊🎉,positive
Dah 2025 sedap lg lagu ni,neutral
💙💙💙💙💙💙,positive
2025 masih Best lagu raya ni❤,positive
🐈 oyen nak wit raya,neutral
SEBAB TU TAKKAN MELAYU HILANG DIDUNIA...KITA ADA 9RAJA2 MELAYU SANA ADA 1RAJA...KENA BETULKAN BARU LAH SELAMAT LAN SEMUA NEGARA FAHAMAN...,neutral
"saya dari indonesia, dan sangat menyukai lagu hari raya versi malaysia dri dulu,",neutral
O⬛⬛⬛⬛⬛⬛⬛⬛⬛⬛⬛⬛⬛,neutral
O⬛⬛⬛⬛🟨🟨🟨🟨,neutral
"Selamat lau rayak gak kelou seluruh pelusuk dunia..palestin mesti merdeka,salm dari anak melanau Mukah",neutral
Hal ini akhirnya tak,neutral
Selamat Hari Raya Aidiladha....❤❤❤❤❤,positive
lagu raya,neutral
Saya jadi teringat dulu dulu waktu hari raya jadi rindu tapi tak pek lah dunia pasti kena tukar 2025 nanti 2026😢😅,negative
"tak raya pun saya bukak lagu raya,ni tengah dengar lagu raya ni lah",neutral
❤❤❤❤,positive
Selamat hari raya Aidilfitri maaf zahir dan batin ok 🎉,positive
Macam Sakai lagu,neutral
"Saya nak tau, ramai tak orang indonesia yang suka lagu Raya Malaysia? layan dari dulu sampai sekarang??",neutral
Selamat hari raya Aidilfitri maaf zahir batin,neutral
Esok raya!!,neutral
Lagu raya malaysia mmg terbaik..moment dah dekat 1 syawal terasa nuansa gembira dan haru..,neutral
besok rayaaaaa 🎉,positive
"Tlg jgn ada ikln pjg sngt, x suka",neutral
Nak dgr lgu bukn nk dgr iklan pnjg2 stiap 3 min belari nk p skip iklan... Letih tau!!,neutral
esok dah raya🎉,positive
Semoga aja aku ga sendiri komen kesini tahun ini,neutral
"Lebarannya baru dua bulan, udah mau lebaran lagi nih hatikuu😂",positive
❤❤❤,positive
Saya dari 2045😂😂😂,positive
Zaman nostalgia zaman kecik2 dulu2🥰,positive
Saya dengar lagu raya ni teringat sesuatu 🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺,neutral
May 2025😅,positive
2025 anyone ?,neutral
Kesini kerana versinya upin ipin,neutral
Indonesia hadiiiirrr....elok nian lagu tetangga ini....suka...suka....sukaaa......🥰🥰🥰,positive
Laguu dlu ga terkalahkan...,neutral
Pintar jua adik ziana zain,neutral
Lagu Raya Ni Lagi Sedap Dari Pade Lagu Sesuci Lebaran,neutral
Hadirin Hadirat.. Raia Raia Raia..🎉😂❤,positive
Ternyata dah 14thn yg lalu yaa😮,neutral
Love from India ❤,positive
Anyone 2080-2100,neutral
Saya sangaaattt suka sekali lagu ini ❤,positive
Tak ingat 6 jun lupa saya kehilangan dia uncle amir tak ingat saya,neutral
Lagu legend 😌,positive
Siapa yg tak suka hari raya idul fitri?smua suke.. Nonmuslim pun ikut merayakan,neutral
cvdf❤🎉 0:18,positive
#蔡书写文言文书面语得举人格物致知cantoneseoperaG5到得婚官偈语6Politician2国会议员1在NS1,neutral
IBNU ARASY DZIKRULLAH ALLAHU AKBAR AL-DOA EXIST BEFORE END DAY OR DOOMSDAY AMIN YA RABBAL ALAMIN INSYA-ALLAH ALLAHU AKBAR,negative
How beautiful these women are 😍,positive
Slmt hri raya aidiladha 2025,neutral
Jgn mencarut blhtk,neutral
2026 ada yang dengar tak kalau ada like saya,positive
Suka tengok komen 2 kat sini ramai Chinese lndian pun suka lagu raya ni salam perpaduan ❤❤❤kita semua malaysians 😊😊😊😂😂😂,positive
lagu paporit saya,neutral
"Oh No, It’s Raya Again
by De Fam (English Translation)

Oh no, oh no, oh no!
A month before Raya, just realized fasting starts tomorrow
Forgot to make intention, quick—Google it
Time flies so fast
Suddenly it’s the 24th night
Too late to buy flight tickets
Too late to rent a car
Oh no, oh no, oh no!

Oh no, it’s Raya again
My cookies didn’t turn out right
Rushing to weave ketupat
Rendang’s burnt in the pan
Oh no, it’s Raya again
Forgot to buy Raya clothes
Stuck in traffic on the way home
Looking right, looking left—
Still stuck!

Eh, eh, walking with a little swag
Trying to cook grandma’s rendang
Mama’s busy, the clothes aren’t even ironed—oh no!
Cookies got burnt, no one watched the oven
Dad’s samping (Raya sarong) is already missing
Oh no, oh no, oh no!

Oh no, it’s Raya again
My cookies didn’t turn out right
Rushing to weave ketupat
Rendang’s burnt in the pan
Oh no, it’s Raya again
Forgot to buy Raya clothes
Stuck in traffic on the way home
Looking right, looking left—
Still stuck!

In the evening, everyone’s happy
But I’m the only one alone
Trying to check Instagram Stories
But the WiFi’s so slo—(ugh!)
When Raya finally comes...

Oh no, it’s Raya again
My cookies didn’t turn out right
Rushing to weave ketupat
Rendang’s burnt in the pan
Oh no, it’s Raya again
Forgot to buy Raya clothes
Stuck in traffic on the way home
Looking right, oh, looking left—
Still stuck!",negative
مرحبًا,neutral
Ranting (7000000000000)(900000),neutral
Kuih raya tak jadi2😂beli je lah,negative
Alamak raya lagi ini nampak macam lain?,neutral
🎉🎉🎉🎉🎉🎉🎉🎉,positive
Lokasi :  Rimbun Dahan. Kuang.,neutral
W❤,positive
❤❤❤❤.              😮(+_+),positive
"Lagu dan melodi ni memang comel sangat! Anak-anak De Fam pun semua nampak comel dan bertenaga 😍💃 Memang seronok tengok mereka menari dan nyanyi, terus rasa mood Raya!",positive
esok 07/06/2025 dh raya haji masih dengar lagu ni😢😢😢 rindu arwah abah😭😭 btw harini harijadi saya❤,negative
Raya Haji pun dengar ni Apak,neutral
harap apak bukak la bangle dengan rantai tu.,neutral
Sedap lagu ni siok d dengar,neutral
Raya Senang Hati..🎉😂❤,positive
Tetiba terdengar2 lagu ni... terus ke mari.,neutral
😮saya dengar,neutral
Lepas habis raya pun aku dengar sampai nk masuk raya haji dh nie 😂😂😂,positive
Raya dah Habis Masih tengok 😆😊,positive
Rindunya melhat mereka bersatu kembali,neutral
Masih lagi apak.,neutral
Tak sabar nk puasa tahun depan,neutral
habis raya ttp dgr trbaik 3.5.25,neutral
Masih dengar setiap tahun,neutral
tiap tiap hari aku main lagu ni berantu betull,neutral
Sedap lagu ni😅,positive
"Lagu ni dah berjaya masuk kategori lagu wajib dengar raya, sebaris lagu siti, aisyah dan m.nasir. Tahniah apak",neutral
syawal dah nk berlalu..moga jumpa lagi di thn hadapan..tahun ni tahun pertama raya tanpa ayah…ibu dah 8 tahun tinggalkn kami..,neutral
Plot twis last skli😂😂,positive
Walau pon rock sngat tp memang dalam lagu ni,neutral
JANJI HAPPY HARI RAYA,positive
Beli kat shopee je kak senang je hehehehe tapi mahal.Saya beli baju raya harga 100.,neutral
Kenapa saya ga tau lagu ini lebaran kemaren😢,negative
Kesian nye abang zubir😢 tangan abang zubir kenape😢 kesian nye tapi kita semua sukong abang zubik😊,negative
Yang pakai baju princess tu gedik,neutral
Sape dancer yg tinggi tu,neutral
Gudjob😊,positive
"100 kali dah repeat, mmg raya tahun 2025 ni lagu iman yg ni laa memang melekat kat hati n otak huhuhu, minat chorus",neutral
selamat pagi yasalam rose merah serian sarwak ya allahu akhbar jumpatahun depan  semua   dua poluh dah sampai,neutral
selamat pagi yasalam rose merah serian sarwak sihat walafiat semua amiiiiiiiiin hanya kamu I think sokonglah fitri lagu untunkmu tenanghati mu terakhir untuk makluman semua amiiiiiiiiin sokongan dapat solat zohor semua amiiiiiiiiin hanya semanggat kehidupaanku memanglah minat yG indahnya ciptaan I think 2025rose will have the money for the first,neutral
Was like 34 tau🎉,positive
Dalia is so cute❤❤❤,positive
You forgot the,neutral
Comelnya semua 😊,positive
Byk nye lagu raya iman taun ni,neutral
Best la semua lagu iman,positive
best tapi part rap tu mcm tak perlu pun,positive
"Intro dah sedap giler
Tp chorus kureng sikit imo
Pape pun sy suka lagu ni 🫰🏻",neutral
"Sedap dngr rentak nya, klau buat lyrics lain tukar ke selamat pengantin baru🤭 pun sedap hehe",positive
lagu sampah.. boleh pakai dihutan2 utk halau gajah,neutral
Lagu nya bikin anak² rantau sedih,neutral
"When I was young her I loved to listen this song, although I’m not Muslim, I was living in Singapore and a few neighbors listen this song certain times of the year❤",positive
🎉🎉,positive
Lebaran udh lewst tapi anak saya masih aja nyanyiin lagu ini😂😂😂😂,positive
Salam dari seremban n.sembilan Malaysia,neutral
😊,positive
❤🎉❤🎉❤❤🎉❤🎉🎉❤🎉,positive
"We only have 1 day left before syawal ends, this is my last I would hear before bulan syawal leaves. We will see you again you in next year😭",negative
Dhvwj,neutral
hii,neutral
Wowwww ❤❤❤❤,positive
saya buat persembahan,neutral
Selamat hari raya semua,neutral
Baru tahu ada lagu ini bagus bangett ❤❤❤,positive
❤❤❤❤❤❤❤❤❤❤❤❤🫅🫅🤵‍♂️🤵‍♂️🤵‍♂️🤵‍♀️🤴🤴🤵‍♀️🤵🤵‍♀️,positive
❤❤❤❤❤❤❤❤❤❤❤❤❤😂🎉🎉🎉🎉🎉🎉,positive
Sedap lah lagu ni😂,positive
😢😢😢😢,negative
Lagu ini dh lama tapi kok baru tau & sering dengar musik ini di tahun 2025,neutral
Saye nak buat pertandingan sebab tulah saye asyik dengar lagu nie😁😁,positive
Selamat  lebaran ya    semoga  masuk  surga🙏🏻🙏🏻❤❤❤😊,positive
Hii😢😢😢😢😢,negative
Ini udah Idul Adha,neutral
Wah idul adha hari ini rame banget ya 👍👍👍👍👍 bagus yang mau kurban saya pak rt,neutral
🔪🐄😇,positive
2 hari lagi akan hari raya tahun baru islam😊,positive
❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤❤,positive
Allah❤,positive
❤,positive
Masyaallah,neutral
Dont do it in front of kids,neutral
Semoga lancar ya aamiin ❤❤❤❤😊,positive
😢😢😢❤❤❤🙏,positive
cieeee kambing nya cium man🗿🗿💅💅,neutral
Salah,neutral
😊😊😊😊😊,positive
من يشاهد هذا في عام 2025؟,neutral
❤❤❤,positive
❤❤❤❤❤❤❤❤❤,positive
Masallah 💕,positive
"First I heard this without seeing the visual, then I am surprised when I realised this song is performed by a male singer 😂",positive
Ghsjhdkdjffjgkdsndjdjjdke😊❤❤jfgk GJ fj,positive
TUHAN MENGBERKATi🌙,neutral
Ustaz marah hang aku tak Tau la umat manusia hahahah,neutral
Nanti raya aidaha pula  kita kena koban lembu 🎉,positive
0:45 sukalahhh,neutral
❤❤❤❤❤❤❤❤❤❤😘😘😘😘😘😘😘😘😘😘❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😘😘😘😘😘😘😘😘😘😘❤️❤️❤️❤️❤️❤️❤️❤️❤️❤️😘😘😘😘😘😘😘😘😘😘,positive
raya haji pula😂,positive
",n 9,6. .ljjjjlnmbnmmm b",neutral
Indonesia,neutral
Dhjdjdjjdjdidjjdjhddhhdgydgh😮ususj😮😮😊😊😊😊js sln,positive
🧘,neutral
Saya,neutral
Who is here for mwa??,neutral
Tak sangka lagu ni dari dolla😂,positive
;]]]]]]]]]=,neutral
"Saya suka❤❤❤❤❤
Selamat hari raya....
Let's.... Goooo❤",positive
dh 4 tahun eh? cept nya,neutral
Fav forever,positive
66,neutral
Lagu baru raya 2023 😘 : https://youtu.be/A2idwSQRXZ4,positive
Rindu raya 2022 rindu budak Sabah,neutral
Raiyan❤you,neutral
Selamat hari raya aidiladha😊😊,positive
Raya Aidiladha 2025 pada 07.06.2025 pun nak dekat,neutral
"g
😊😊😊😊😊😊😊",positive
Aku sorang jeke tengok bulan mei sampai oktober??,neutral
2025🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉🎉❤❤❤❤,positive
goog,neutral
Selamat hari raya kak,neutral
"Hari hari hari raya ,tiap tiap hari  duit banyak",neutral
Heestan Amiira i bartay❤,positive
Sape dengar april 2025 kat siniiiii,neutral
WOW!❤❤❤❤❤❤❤❤❤❤❤🎉🎉🎉🎉🎉,positive
"lagu baru 2025 Amerika Syarikat di Santa Monica, LA",neutral
Lagu Luar biase,neutral
Pokoknya harus di Like komentar nya sama Love nih. Nak Malaysia ke😋🤭. Maaf kelewatan 🤭 hehe.,positive
Enak nih lagu nari sempurna 😋🎉,positive
Goyang-goyang guys😋,neutral
Asik😋,neutral
Lagu ni kalau iman troye xde memang pelik bukan xsdp tpi pelik lahh 😅😅 tapi memang mantap❤,positive
Sedap. LA. Lagu. Dato. Ni,neutral
suke sgt lagu ni..,neutral
Slmt hri raya Aidiladha ❤.,positive
Ya best tk jemu dengar lagu ni sebb best raya haji dh nk dekat boleh lah dengar lagu ni lagu ni kalau buat jj best ooo buat jj pakai lagu ni mesti best,positive
😂😂 Naim Daniel bertambah Gila dgn Janji Happy,positive
Tahniah Dato AS dan Iman😂❤,positive
good,positive
SEDAPLAH LAGU IMAN TROYE SEMUA SUKA LAGU TAHUN NI,neutral
0:37,neutral
🎉ok sy suka gbungn dato n iman..trbk la,positive
Lagu kak ni sedap ye ❤❤,positive
Raya a a yayayayay,neutral
😊😅,positive
Lagu ni memang power gila 🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥🔥👍,negative
Berdengung,neutral
Alamak dah habis raya lepastu bulan jun hari raya korban/aidil adha,neutral
"mcm ni baru semangat nak dgr lagu raya dari dato aliff, harap takde lagi sotong sotong tu lagi..good job iman troye dan dato aliff",neutral
mcm vibe lagu bapak ngn anak ehhh,neutral
"comel btl iman ni, klau adik aku ni selalu aku nyakat..",neutral
Mimi da asia indosiar❤❤❤,positive
Where Chinese ethnic?,neutral
saya suka lagu awa❤❤❤ you 🥰,positive
I lo🎉❤❤,positive
Ada lagu lin ga guli guli wacha😂😂😂,positive
We need a dance practise version 😂 hish tamak kan kitorang ni,positive
❤❤❤❤❤❤❤😮😮😁😁😁😁😄😄😄😃😀😆😆,positive
1:23,neutral
Ni bukan lagu raya tapi lagu pontianak harum sundal malam versi 2.0😂,positive
❤😊,positive
You sis very sus,neutral
Sy dgr lagu ni di pagi hari raya Aidiladha 2025 M / 1446 H. Ada sesiapa geng yg sama dgn saya? 🫶🏻🫶🏻🫶🏻,neutral
Airis❤❤❤❤❤❤🎉🎉🎉🎉🎉,positive
selamat hari raya aidiladha,neutral
Keren bgt lho,neutral
14m siot!😂,positive
👍💝💓,positive
Salam Aidiladha ❤,positive
"Siapa layan lagu ni pada Aidiladha 2025, kita geng😅",positive
kam,neutral
"Terima kasih korang semua yang support lagu nie. Best kan hehehe. Ada ke yang kes mcm dalam lagu nie?😏hehehehe. Btw puasa korang macam mana?tak lama dah nak raya. So korang dengar lagu nie dan layan lagu nie sampai raya okay, nanti Hari Raya pun korang pasang lagu nie juga okay. Teruskan mendengar dan menonton muzik video kasi trending no1 ya. Terima kasih semua.",positive
"Saya warga Batam, saya terkesan dengan ni lagu.. terimakaseh ya..",neutral
lsuk daranya agi,neutral
Aku orang Indonesia tapi jujur denger lagu malaysia seru banget,neutral
😘😘😘,positive
"Ijin saya jadikan konten juga pakai sound ini untuk reels di akun saya, salam dari INDONESIA",neutral
Minat lepas tengok telemovie Tragedi Kuih Raya,neutral
asal baru tahu lagu ni,neutral
"Mmg nice lah lagu nih, Semua perkataan kat belakang tu huruf ""A"" Sebab tu nice dia lain mcm! Selamat Hari Raya!",positive
Ni sedap.. ngam2 soii..,neutral
Sapa yg masih layan raya 2025 angkat ibu jari,neutral
Comel nya saya suka sya suka.,neutral
terima kasih sgt2..ada pun lagu raya modern yg sedap di dgr..lagu lain sakit jiwa dgr nya..,neutral
thun nie knp x de keluar lagu nie kat suria fm,neutral
Lagu Raya ni Perli aq plk dh,neutral
"tahun 2024 lagu raya masih berpacaran ""raya di rumah dinda"" .. 2025 lagu raya dah kahwin  ""meriah lain macam"" .. yang dengar 2 tahun punya lagu raya masih single 🙂",positive
COLOR BLACK DAN 😢😢,negative
Keren lagunya.. teringat susana raya di kampung masa kecil dulu❤,positive
Best layan lagu ni. 2025 masih suka lagu ni 🥹🥹,positive
terbaik lagu raya ni sy dgr berulang2 tak jemu,neutral
❤Fire❤,positive
❤❤🎉🎉😊,positive
2025 hadir🥹,neutral
"Salam Aidilfitri, Selamat Hari Raya 2025🎉🎉🎉🎉",positive
Lagu raya yg simple tp best!! 🫰🏻,positive
rindu najwa latiff,neutral
Ada ketenangan bila dgr lagu ni...dah 2025..sapa setuju???,neutral
2:10,neutral
Selamat hari raya Aidilfitri maaf zahir dan batin 2025,neutral
The best modern raya song,positive
Semoga aja aku ga sendiri komen kesini tahun ini,neutral
"Lebarannya baru dua bulan, udah mau lebaran lagi nih hatikuu😂",positive
❤❤❤,positive
Saya dari 2045😂😂😂,positive
Zaman nostalgia zaman kecik2 dulu2🥰,positive
Saya dengar lagu raya ni teringat sesuatu 🥺🥺🥺🥺🥺🥺🥺🥺🥺🥺,neutral
May 2025😅,positive
2025 anyone ?,neutral
Kesini kerana versinya upin ipin,neutral
Indonesia hadiiiirrr....elok nian lagu tetangga ini....suka...suka....sukaaa......🥰🥰🥰,positive
Sangat sukeeeee lagu ini ❤❤,positive
IBNU ARASY DZIKRULLAH ALLAHU AKBAR AL-DOA EXIST BEFORE END DAY OR DOOMSDAY AMIN YA RABBAL ALAMIN INSYA-ALLAH ALLAHU AKBAR,negative
"Syoklah yang masih punyai ibu bapa,👈😟😟😟",negative
"Tengoklah tu anak anak yatim piatu, 👈😟😟",negative
Saya!!!,neutral
"Pelakon HangTuah di Film Putri Gunung Ledang....sehat2 selalu Datuk Muhammad Nasir..Baarakallahufik
7 Juni 2025❤",positive
2025 ❤❤,positive
Siapa mendengar lagu ni 1/6/2025,neutral
"mkhluk no ,only God",negative
yg membuka pintu kebahagiaan ialah Allah,neutral
IBNU ARASY DZIKRULLAH ALLAHU AKBAR AL-DOA EXIST BEFORE END DAY OR DOOMSDAY AMIN YA RABBAL ALAMIN INSYA-ALLAH ALLAHU AKBAR,negative
"Saya nk Tanya, artis yang pakai baju biru muda tu siapa ya.. Siapa tahu",neutral
Lagu yg x pernah gagal memberi vibe raya yg sbenar..dr kecik dok dgr lagu ni time raya,neutral
Nostalgia bila 2020 😂,positive
Lagu ini   lagu yg paling aku suka  .. terima kaseh   boleh dgr lagi,neutral
😭😭😭❤❤,neutral
"Komen siap2
Siapa y dgr tahun 2026 hadirrrr",neutral
Pdbsbdh hhshiv bsgbhdhubhpdhbidqb bdhbdhbgubh,neutral
"8 years later, it is still a legendary song 🎵 ❤",positive
"2025, 2026, 2027, 2028, 2029, 2030.",neutral
"SATU SATUNYA LAGU RAYA TANPA IKLAN
LIKE, SUBSCRIBE DAN SHARE",positive
